country,countryCode,year,value,region,incomeGroup
Argentina,ARG,1960,182932009390.0,Latin America & Caribbean,Upper middle income
Australia,AUS,1960,300892000000.0,East Asia & Pacific,High income
Austria,AUT,1960,75975065503.7276,Europe & Central Asia,High income
Burundi,BDI,1960,443030508800.0,Sub-Saharan Africa,Low income
Belgium,BEL,1960,96107379553.527,Europe & Central Asia,High income
Benin,BEN,1960,976161831950.0,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960,689815632100.0,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960,2210118183804.63,South Asia,Lower middle income
"Bahamas, The",BHS,1960,2260815175.59464,Latin America & Caribbean,High income
Belize,BLZ,1960,284818356.604081,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960,1588221164.9,North America,High income
Bolivia,BOL,1960,6097257474.3,Latin America & Caribbean,Lower middle income
Brazil,BRA,1960,429992444364.633,Latin America & Caribbean,Upper middle income
Barbados,BRB,1960,2841626248.14328,Latin America & Caribbean,High income
Botswana,BWA,1960,2304345192.91227,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960,376780000000.0,Sub-Saharan Africa,Low income
Canada,CAN,1960,353438131964.497,North America,High income
Switzerland,CHE,1960,204620554000.0,Europe & Central Asia,High income
Chile,CHL,1960,19506296064998.3,Latin America & Caribbean,High income
China,CHN,1960,1101934784445.24,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960,3247375624200.0,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960,2872861466000.0,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1960,5454963722000.0,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1960,558725865910.0,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960,83918676372000.0,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1960,2686190817900.0,Latin America & Caribbean,Upper middle income
Germany,DEU,1960,819649283406.438,Europe & Central Asia,High income
Denmark,DNK,1960,557908936504.349,Europe & Central Asia,High income
Dominican Republic,DOM,1960,133288117850.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960,3114526290528.02,Middle East & North Africa,Upper middle income
Ecuador,ECU,1960,11416060425.2363,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1960,350763027496.451,Middle East & North Africa,Lower middle income
Spain,ESP,1960,170668775675.683,Europe & Central Asia,High income
Finland,FIN,1960,44486891618.7149,Europe & Central Asia,High income
Fiji,FJI,1960,1768504022.1,East Asia & Pacific,Upper middle income
France,FRA,1960,469632424000.0,Europe & Central Asia,High income
Gabon,GAB,1960,630663824500.0,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1960,519106841000.0,Europe & Central Asia,High income
Ghana,GHA,1960,20265825441.0,Sub-Saharan Africa,Lower middle income
Greece,GRC,1960,37650772000.0,Europe & Central Asia,High income
Guatemala,GTM,1960,55747903919.0,Latin America & Caribbean,Upper middle income
Guyana,GUY,1960,320339509120.0,Latin America & Caribbean,High income
Honduras,HND,1960,22545598500.0,Latin America & Caribbean,Lower middle income
Haiti,HTI,1960,279682428440.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,1960,5789031311862.97,Europe & Central Asia,High income
Indonesia,IDN,1960,550703878730000.0,East Asia & Pacific,Upper middle income
India,IND,1960,7370436294200.0,South Asia,Lower middle income
Ireland,IRL,1960,21386118152.5509,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1960,1629366714223830.0,Middle East & North Africa,Upper middle income
Iraq,IRQ,1960,7715155733702.24,Middle East & North Africa,Upper middle income
Iceland,ISL,1960,312732668823.418,Europe & Central Asia,High income
Israel,ISR,1960,71737625929.598,Middle East & North Africa,High income
Italy,ITA,1960,438141732502.359,Europe & Central Asia,High income
Japan,JPN,1960,72087244289737.0,East Asia & Pacific,High income
Kenya,KEN,1960,634134922740.0,Sub-Saharan Africa,Lower middle income
"Korea, Rep.",KOR,1960,29070100000000.0,East Asia & Pacific,High income
Liberia,LBR,1960,2979571652.5704,Sub-Saharan Africa,Low income
Libya,LBY,1960,6314385664.28265,Middle East & North Africa,Upper middle income
Lesotho,LSO,1960,1781493792.81282,Sub-Saharan Africa,Lower middle income
Luxembourg,LUX,1960,7884154633.81745,Europe & Central Asia,High income
Madagascar,MDG,1960,6888730396300.0,Sub-Saharan Africa,Low income
Mexico,MEX,1960,2869655502905.39,Latin America & Caribbean,Upper middle income
Myanmar,MMR,1960,3439839672298.07,East Asia & Pacific,Lower middle income
Mauritius,MUS,1960,35483163991.5165,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1960,627783867110.696,Sub-Saharan Africa,Low income
Malaysia,MYS,1960,39348061579.0,East Asia & Pacific,Upper middle income
Niger,NER,1960,1538439464800.0,Sub-Saharan Africa,Low income
Nigeria,NGA,1960,9277979393400.0,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1960,39751418067.9999,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1960,147806428953.397,Europe & Central Asia,High income
Norway,NOR,1960,554762298940.692,Europe & Central Asia,High income
Nepal,NPL,1960,253199487086.649,South Asia,Lower middle income
New Zealand,NZL,1960,60459861703.31,East Asia & Pacific,High income
Pakistan,PAK,1960,1936984531450.36,South Asia,Lower middle income
Panama,PAN,1960,3322629169.69376,Latin America & Caribbean,High income
Peru,PER,1960,69946000000.0,Latin America & Caribbean,Upper middle income
Philippines,PHL,1960,1533325334500.0,East Asia & Pacific,Lower middle income
Papua New Guinea,PNG,1960,6961486091.1,East Asia & Pacific,Lower middle income
Puerto Rico,PRI,1960,15521241104.9712,Latin America & Caribbean,High income
Portugal,PRT,1960,32421656157.4039,Europe & Central Asia,High income
Paraguay,PRY,1960,14551895743000.0,Latin America & Caribbean,Upper middle income
Rwanda,RWA,1960,829069914120.0,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,1960,165009360400.0,Middle East & North Africa,High income
Sudan,SDN,1960,3904635609.89358,Sub-Saharan Africa,Low income
Senegal,SEN,1960,2249376716600.0,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1960,8175700000.0,East Asia & Pacific,High income
Sierra Leone,SLE,1960,2287067886.74396,Sub-Saharan Africa,Low income
Somalia,SOM,1960,37737005180345.8,Sub-Saharan Africa,Low income
Suriname,SUR,1960,3552849842.8,Latin America & Caribbean,Upper middle income
Sweden,SWE,1960,1051268099000.0,Europe & Central Asia,High income
Seychelles,SYC,1960,1777717148.88794,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1960,105260113900.0,Middle East & North Africa,Low income
Chad,TCD,1960,871455228500.0,Sub-Saharan Africa,Low income
Togo,TGO,1960,450952054210.262,Sub-Saharan Africa,Low income
Thailand,THA,1960,377461463400.0,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1960,25155237044.0,Latin America & Caribbean,High income
Turkiye,TUR,1960,122493054300.0,Europe & Central Asia,Upper middle income
Tanzania,TZA,1960,15995013624474.6,Sub-Saharan Africa,Lower middle income
Uruguay,URY,1960,496120841180.0,Latin America & Caribbean,High income
United States,USA,1960,3431221354895.04,North America,High income
St. Vincent and the Grenadines,VCT,1960,443282098.203476,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1960,14395636700.0,Latin America & Caribbean,
South Africa,ZAF,1960,837119000000.0,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1960,22032963700.0,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,1960,44544631699.8299,Sub-Saharan Africa,Lower middle income
Argentina,ARG,1961,192861271430.0,Latin America & Caribbean,Upper middle income
Australia,AUS,1961,308362000000.0,East Asia & Pacific,High income
Austria,AUT,1961,80182548917.2836,Europe & Central Asia,High income
Burundi,BDI,1961,382130936730.0,Sub-Saharan Africa,Low income
Belgium,BEL,1961,100892011502.649,Europe & Central Asia,High income
Benin,BEN,1961,1006825812800.0,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1961,717711279440.0,Sub-Saharan Africa,Low income
Bangladesh,BGD,1961,2344010697812.72,South Asia,Lower middle income
"Bahamas, The",BHS,1961,2501978532.97761,Latin America & Caribbean,High income
Belize,BLZ,1961,298752460.179829,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1961,1662549915.4,North America,High income
Bolivia,BOL,1961,6224647226.9,Latin America & Caribbean,Lower middle income
Brazil,BRA,1961,466971794579.992,Latin America & Caribbean,Upper middle income
Barbados,BRB,1961,3060332859.08808,Latin America & Caribbean,High income
Botswana,BWA,1961,2450516346.37932,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1961,395444000000.0,Sub-Saharan Africa,Low income
Canada,CAN,1961,364618411000.0,North America,High income
Switzerland,CHE,1961,221212564000.0,Europe & Central Asia,High income
Chile,CHL,1961,20529454328194.5,Latin America & Caribbean,High income
China,CHN,1961,801437168683.797,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1961,3569922999200.0,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1961,2906866975900.0,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1961,4863025093300.0,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1961,605383536110.0,Sub-Saharan Africa,Lower middle income
Colombia,COL,1961,88189479903000.0,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1961,2736671772200.0,Latin America & Caribbean,Upper middle income
Germany,DEU,1961,854881412491.764,Europe & Central Asia,High income
Denmark,DNK,1961,593497012930.217,Europe & Central Asia,High income
Dominican Republic,DOM,1961,130204832130.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1961,2690781243531.02,Middle East & North Africa,Upper middle income
Ecuador,ECU,1961,12001066724.3098,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1961,368866307717.644,Middle East & North Africa,Lower middle income
Spain,ESP,1961,190873695980.237,Europe & Central Asia,High income
Ethiopia,ETH,1961,116767664758.731,Sub-Saharan Africa,Low income
Finland,FIN,1961,47869973132.7766,Europe & Central Asia,High income
Fiji,FJI,1961,1830712601.3,East Asia & Pacific,Upper middle income
France,FRA,1961,493020644000.0,Europe & Central Asia,High income
Gabon,GAB,1961,723792962500.0,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1961,533129548000.0,Europe & Central Asia,High income
Ghana,GHA,1961,20960877190.0,Sub-Saharan Africa,Lower middle income
Greece,GRC,1961,42622120000.0,Europe & Central Asia,High income
Guatemala,GTM,1961,58144237798.0,Latin America & Caribbean,Upper middle income
Guyana,GUY,1961,335361908280.0,Latin America & Caribbean,High income
"Hong Kong SAR, China",HKG,1961,108886000000.0,East Asia & Pacific,High income
Honduras,HND,1961,22963968000.0,Latin America & Caribbean,Lower middle income
Haiti,HTI,1961,271482194760.0,Latin America & Caribbean,Lower middle income
Hungary,HUN,1961,6061115783520.54,Europe & Central Asia,High income
Indonesia,IDN,1961,582317837940000.0,East Asia & Pacific,Upper middle income
India,IND,1961,7644818661000.0,South Asia,Lower middle income
Ireland,IRL,1961,22458882006.2718,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1961,1798672879202270.0,Middle East & North Africa,Upper middle income
Iraq,IRQ,1961,8280350148650.22,Middle East & North Africa,Upper middle income
Iceland,ISL,1961,312500671294.618,Europe & Central Asia,High income
Israel,ISR,1961,79775031071.2474,Middle East & North Africa,High income
Italy,ITA,1961,474101101940.021,Europe & Central Asia,High income
Japan,JPN,1961,80769097801303.8,East Asia & Pacific,High income
Kenya,KEN,1961,584833247700.0,Sub-Saharan Africa,Lower middle income
"Korea, Rep.",KOR,1961,31086400000000.0,East Asia & Pacific,High income
Liberia,LBR,1961,3052272766.50176,Sub-Saharan Africa,Low income
Libya,LBY,1961,6939244888.4717,Middle East & North Africa,Upper middle income
Sri Lanka,LKA,1961,887220287787.488,South Asia,Lower middle income
Lesotho,LSO,1961,1814715002.93715,Sub-Saharan Africa,Lower middle income
Luxembourg,LUX,1961,8186116425.58459,Europe & Central Asia,High income
Madagascar,MDG,1961,7029855183300.0,Sub-Saharan Africa,Low income
Mexico,MEX,1961,3013138278071.29,Latin America & Caribbean,Upper middle income
Myanmar,MMR,1961,3456060617420.09,East Asia & Pacific,Lower middle income
Mauritania,MRT,1961,36309209714.0,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,1961,43590745839.8686,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1961,675744029961.745,Sub-Saharan Africa,Low income
