country,countryCode,year,value,region,incomeGroup
Argentina,ARG,1960,0.1315089166,Latin America & Caribbean,Upper middle income
Australia,AUS,1960,16613000000.0,East Asia & Pacific,High income
Austria,AUT,1960,12565386160.9652,Europe & Central Asia,High income
Burundi,BDI,1960,9799999500.0,Sub-Saharan Africa,Low income
Belgium,BEL,1960,14638880289.2954,Europe & Central Asia,High income
Benin,BEN,1960,55462047700.0,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960,81022959600.0,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960,20519491600.0,South Asia,Lower middle income
"Bahamas, The",BHS,1960,173200000.0,Latin America & Caribbean,High income
Belize,BLZ,1960,40103500.0,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960,72400000.0,North America,High income
Bolivia,BOL,1960,4479.0,Latin America & Caribbean,Lower middle income
Brazil,BRA,1960,0.0011573091,Latin America & Caribbean,Upper middle income
Barbados,BRB,1960,137180652.236989,Latin America & Caribbean,High income
Botswana,BWA,1960,21693100.0,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960,27500003300.0,Sub-Saharan Africa,Low income
Canada,CAN,1960,39338053869.2468,North America,High income
Switzerland,CHE,1960,45532173440.7116,Europe & Central Asia,High income
Chile,CHL,1960,4521000.0,Latin America & Caribbean,High income
China,CHN,1960,147010000000.0,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960,133926436900.0,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960,150600319000.0,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1960,0.0005710987,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1960,32300007400.0,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960,26746700000.0,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1960,2860500200.0,Latin America & Caribbean,Upper middle income
Germany,DEU,1960,181051517254.719,Europe & Central Asia,High income
Denmark,DNK,1960,43937464875.2695,Europe & Central Asia,High income
Dominican Republic,DOM,1960,672399700.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960,13446652900.0,Middle East & North Africa,Upper middle income
Ecuador,ECU,1960,1723727707.5,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1960,1464800000.0,Middle East & North Africa,Lower middle income
Spain,ESP,1960,4483572484.25662,Europe & Central Asia,High income
