country,countryCode,year,value,region,incomeGroup
Africa Eastern and Southern,AFE,1960,21216962289.5576,,
Africa Western and Central,AFW,1960,11884128412.3564,,
Australia,AUS,1960,18606562977.0501,East Asia & Pacific,High income
Austria,AUT,1960,6650133914.54795,Europe & Central Asia,High income
Burundi,BDI,1960,195999990.0,Sub-Saharan Africa,Low income
Belgium,BEL,1960,11810619368.3874,Europe & Central Asia,High income
Benin,BEN,1960,226195578.434497,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960,330442815.821186,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960,4274894083.33333,South Asia,Lower middle income
"Bahamas, The",BHS,1960,169803921.568627,Latin America & Caribbean,High income
Belize,BLZ,1960,28072478.0724781,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960,84466652.5888912,North America,High income
Bolivia,BOL,1960,373250000.0,Latin America & Caribbean,Lower middle income
Barbados,BRB,1960,80021380.2934078,Latin America & Caribbean,High income
Botswana,BWA,1960,30411413.6552828,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960,112155598.492157,Sub-Saharan Africa,Low income
Canada,CAN,1960,40563768946.9503,North America,High income
Switzerland,CHE,1960,10412232620.5258,Europe & Central Asia,High income
Chile,CHL,1960,4110000000.0,Latin America & Caribbean,High income
China,CHN,1960,59716249310.9742,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960,546203559.344361,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960,614206068.497266,Sub-Saharan Africa,Lower middle income
"Congo, Rep.",COG,1960,131731862.783017,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960,4031152976.63904,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1960,507513829.994855,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1960,641539199.966832,,
Germany,DEU,1960,84310950194.1152,Europe & Central Asia,High income
Denmark,DNK,1960,6361166312.94752,Europe & Central Asia,High income
Dominican Republic,DOM,1960,672399700.0,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960,2723615451.30098,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1960,80767959484.0125,,
Early-demographic dividend,EAR,1960,131637078689.923,,
East Asia & Pacific,EAS,1960,157148090063.28,,
Europe & Central Asia,ECS,1960,426443191069.501,,
Ecuador,ECU,1960,2069464936.59762,Latin America & Caribbean,Upper middle income
Euro area,EMU,1960,251547935974.241,,
Spain,ESP,1960,12433394725.2159,Europe & Central Asia,High income
Ethiopia,ETH,1960,1610511693.78543,Sub-Saharan Africa,Low income
European Union,EUU,1960,285073053085.955,,
Fragile and conflict affected situations,FCS,1960,30738244854.8701,,
Finland,FIN,1960,5279011362.12721,Europe & Central Asia,High income
Fiji,FJI,1960,112328422.113084,East Asia & Pacific,Upper middle income
France,FRA,1960,62225478000.8822,Europe & Central Asia,High income
Gabon,GAB,1960,141468977.799846,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1960,73233967692.1028,Europe & Central Asia,High income
Ghana,GHA,1960,1223943661.97183,Sub-Saharan Africa,Lower middle income
Greece,GRC,1960,4335191696.00585,Europe & Central Asia,High income
Guatemala,GTM,1960,1043599900.0,Latin America & Caribbean,Upper middle income
Guyana,GUY,1960,170216241.126064,Latin America & Caribbean,High income
High income,HIC,1960,1092681910636.61,,
"Hong Kong SAR, China",HKG,1960,1320796651.69457,East Asia & Pacific,High income
Honduras,HND,1960,335650000.0,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,1960,19354196920.0215,,
Haiti,HTI,1960,273187200.0,Latin America & Caribbean,Lower middle income
IBRD only,IBD,1960,326647514998.481,,
IDA & IBRD total,IBT,1960,369468196078.483,,
IDA total,IDA,1960,41098321652.6435,,
IDA blend,IDB,1960,12304340519.4379,,
IDA only,IDX,1960,29673639827.084,,
India,IND,1960,37029883876.1839,South Asia,Lower middle income
Ireland,IRL,1960,1998550221.80554,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1960,4199134389.9037,Middle East & North Africa,Upper middle income
Iraq,IRQ,1960,1537252191.85976,Middle East & North Africa,Upper middle income
Iceland,ISL,1960,252169712.042125,Europe & Central Asia,High income
Israel,ISR,1960,3052993636.3971,Middle East & North Africa,High income
Italy,ITA,1960,41915814947.7905,Europe & Central Asia,High income
Jamaica,JAM,1960,699064380.374248,Latin America & Caribbean,Upper middle income
Japan,JPN,1960,47419238274.4619,East Asia & Pacific,High income
Kenya,KEN,1960,791265459.493816,Sub-Saharan Africa,Lower middle income
St. Kitts and Nevis,KNA,1960,12366635.7500773,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1960,3958811881.18812,East Asia & Pacific,High income
Liberia,LBR,1960,190495599.999999,Sub-Saharan Africa,Low income
Libya,LBY,1960,401644248.825835,Middle East & North Africa,Upper middle income
Least developed countries: UN classification,LDC,1960,25396340997.1279,,
Sri Lanka,LKA,1960,1409873949.57983,South Asia,Lower middle income
Lower middle income,LMC,1960,84616597001.7576,,
Low & middle income,LMY,1960,281513384434.611,,
Lesotho,LSO,1960,34579986.1680055,Sub-Saharan Africa,Lower middle income
Late-demographic dividend,LTE,1960,236359697329.267,,
Luxembourg,LUX,1960,709941874.044355,Europe & Central Asia,High income
Morocco,MAR,1960,2037154741.93211,Middle East & North Africa,Lower middle income
Madagascar,MDG,1960,673081724.751168,Sub-Saharan Africa,Low income
Mexico,MEX,1960,13040000000.0,Latin America & Caribbean,Upper middle income
Middle income,MIC,1960,270718545932.67,,
Myanmar,MMR,1960,545098447.640862,East Asia & Pacific,Lower middle income
Mauritius,MUS,1960,162089563.923802,Sub-Saharan Africa,Upper middle income
Malaysia,MYS,1960,1916229477.13657,East Asia & Pacific,Upper middle income
North America,NAC,1960,582636821806.436,,
Niger,NER,1960,449526873.29589,Sub-Saharan Africa,Low income
Nigeria,NGA,1960,4196174501.5302,Sub-Saharan Africa,Lower middle income
Netherlands,NLD,1960,13263458995.3869,Europe & Central Asia,High income
Norway,NOR,1960,5197398721.41367,Europe & Central Asia,High income
Nepal,NPL,1960,508334413.965087,South Asia,Lower middle income
New Zealand,NZL,1960,5536098606.29231,East Asia & Pacific,High income
OECD members,OED,1960,1061264933712.04,,
Pakistan,PAK,1960,3749265014.69971,South Asia,Lower middle income
Panama,PAN,1960,537147100.0,Latin America & Caribbean,High income
Philippines,PHL,1960,7515894110.56487,East Asia & Pacific,Lower middle income
Papua New Guinea,PNG,1960,230496036.879366,East Asia & Pacific,Lower middle income
Pre-demographic dividend,PRE,1960,22009956179.2499,,
Puerto Rico,PRI,1960,1691900000.0,Latin America & Caribbean,High income
Portugal,PRT,1960,3339150157.85605,Europe & Central Asia,High income
Paraguay,PRY,1960,288884368.016934,Latin America & Caribbean,Upper middle income
Post-demographic dividend,PST,1960,1036274689472.75,,
Rwanda,RWA,1960,119000024.0,Sub-Saharan Africa,Low income
South Asia,SAS,1960,47274328378.8385,,
Saudi Arabia,SAU,1960,1748124063.47068,Middle East & North Africa,High income
Sudan,SDN,1960,1127011494.25287,Sub-Saharan Africa,Low income
Senegal,SEN,1960,1003692370.46869,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1960,704751700.302494,East Asia & Pacific,High income
Sierra Leone,SLE,1960,322151470.588235,Sub-Saharan Africa,Low income
Somalia,SOM,1960,180459936.776025,Sub-Saharan Africa,Low income
Sub-Saharan Africa (excluding high income),SSA,1960,33090214943.7542,,
Sub-Saharan Africa,SSF,1960,33100575536.1519,,
Suriname,SUR,1960,99650000.0,Latin America & Caribbean,Upper middle income
Sweden,SWE,1960,15953203852.6831,Europe & Central Asia,High income
Eswatini,SWZ,1960,35076845.9692616,Sub-Saharan Africa,Lower middle income
Seychelles,SYC,1960,12012024.6246505,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1960,857704431.687946,Middle East & North Africa,Low income
