country,countryCode,year,value,region,incomeGroup
Africa Eastern and Southern,AFE,1961,0.460106039842898,,
Africa Western and Central,AFW,1961,1.87345509634132,,
Argentina,ARG,1961,5.42784287621933,Latin America & Caribbean,Upper middle income
Australia,AUS,1961,2.48261834811161,East Asia & Pacific,High income
Austria,AUT,1961,5.53797931684517,Europe & Central Asia,High income
Burundi,BDI,1961,-13.7461350539839,Sub-Saharan Africa,Low income
Belgium,BEL,1961,4.97842306319174,Europe & Central Asia,High income
Benin,BEN,1961,3.14128045641213,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1961,4.04392797754925,Sub-Saharan Africa,Low income
Bangladesh,BGD,1961,6.05816082548128,South Asia,Lower middle income
"Bahamas, The",BHS,1961,10.6670974251373,Latin America & Caribbean,High income
Belize,BLZ,1961,4.89227721902682,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1961,4.67999999890945,North America,High income
Bolivia,BOL,1961,2.08929593570468,Latin America & Caribbean,Lower middle income
Brazil,BRA,1961,8.60000000000014,Latin America & Caribbean,Upper middle income
Barbados,BRB,1961,7.69652979830487,Latin America & Caribbean,High income
Botswana,BWA,1961,6.3432837196721,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1961,4.95355379797229,Sub-Saharan Africa,Low income
Canada,CAN,1961,3.16329168371286,North America,High income
Switzerland,CHE,1961,8.10867221090605,Europe & Central Asia,High income
Chile,CHL,1961,5.24527188445649,Latin America & Caribbean,High income
China,CHN,1961,-27.2700000039227,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1961,9.93255515611813,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1961,1.18368081101198,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1961,-10.8513760836337,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1961,8.35072672427799,Sub-Saharan Africa,Lower middle income
Colombia,COL,1961,5.08921698439107,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1961,1.8792765563641,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1961,7.376455380248,,
Germany,DEU,1961,4.29843956416363,Europe & Central Asia,High income
Denmark,DNK,1961,6.37883247557384,Europe & Central Asia,High income
Dominican Republic,DOM,1961,-2.31324874995225,Latin America & Caribbean,Upper middle income
Algeria,DZA,1961,-13.605441324599,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1961,-13.3282852333271,,
Early-demographic dividend,EAR,1961,4.77671789203278,,
East Asia & Pacific,EAS,1961,3.83727745350339,,
Europe & Central Asia,ECS,1961,5.20013015382972,,
Ecuador,ECU,1961,5.12441487941221,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1961,5.1611141431878,Middle East & North Africa,Lower middle income
Euro area,EMU,1961,5.74716909918152,,
Spain,ESP,1961,11.8386741948327,Europe & Central Asia,High income
European Union,EUU,1961,5.75505606271065,,
Fragile and conflict affected situations,FCS,1961,-0.185167849939262,,
Finland,FIN,1961,7.60467047924405,Europe & Central Asia,High income
Fiji,FJI,1961,3.51758200278962,East Asia & Pacific,Upper middle income
France,FRA,1961,4.98011185019882,Europe & Central Asia,High income
Gabon,GAB,1961,14.7668431868332,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1961,2.70131423677384,Europe & Central Asia,High income
Ghana,GHA,1961,3.42967401462874,Sub-Saharan Africa,Lower middle income
Greece,GRC,1961,13.2038408136757,Europe & Central Asia,High income
Guatemala,GTM,1961,4.29851834874688,Latin America & Caribbean,Upper middle income
Guyana,GUY,1961,4.68952431164918,Latin America & Caribbean,High income
High income,HIC,1961,4.47006651557626,,
Honduras,HND,1961,1.85565932082044,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,1961,-0.1653200959923,,
Haiti,HTI,1961,-2.93198029126782,Latin America & Caribbean,Lower middle income
Hungary,HUN,1961,4.70000000000019,Europe & Central Asia,High income
IBRD only,IBD,1961,1.16632643816087,,
IDA & IBRD total,IBT,1961,1.16807088401801,,
IDA total,IDA,1961,1.17794202733799,,
IDA blend,IDB,1961,1.36147497102822,,
Indonesia,IDN,1961,5.74064582274347,East Asia & Pacific,Upper middle income
India,IND,1961,3.72274253311053,South Asia,Lower middle income
Ireland,IRL,1961,5.01616911525828,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1961,10.3909183549936,Middle East & North Africa,Upper middle income
Iraq,IRQ,1961,7.3257680655626,Middle East & North Africa,Upper middle income
Iceland,ISL,1961,-0.0741839762608976,Europe & Central Asia,High income
Israel,ISR,1961,11.2038906187628,Middle East & North Africa,High income
Italy,ITA,1961,8.20724591384786,Europe & Central Asia,High income
Japan,JPN,1961,12.0435364080117,East Asia & Pacific,High income
Kenya,KEN,1961,-7.77463490371655,Sub-Saharan Africa,Lower middle income
"Korea, Rep.",KOR,1961,6.93599265224405,East Asia & Pacific,High income
Latin America & Caribbean (excluding high income),LAC,1961,6.16268034616645,,
Liberia,LBR,1961,2.4399854210132,Sub-Saharan Africa,Low income
Libya,LBY,1961,9.89580392156864,Middle East & North Africa,Upper middle income
Latin America & Caribbean,LCN,1961,6.13266550545796,,
Lower middle income,LMC,1961,3.26768658530693,,
Low & middle income,LMY,1961,1.01621585985994,,
Lesotho,LSO,1961,1.86479516562765,Sub-Saharan Africa,Lower middle income
Late-demographic dividend,LTE,1961,-3.72667895978334,,
Luxembourg,LUX,1961,3.82998312174064,Europe & Central Asia,High income
Madagascar,MDG,1961,2.04863275061248,Sub-Saharan Africa,Low income
Mexico,MEX,1961,5.00000000071891,Latin America & Caribbean,Upper middle income
Middle income,MIC,1961,1.15386229793317,,
Myanmar,MMR,1961,0.471561080379757,East Asia & Pacific,Lower middle income
Middle East & North Africa (excluding high income),MNA,1961,3.3611205264918,,
Mauritius,MUS,1961,22.8490949969695,Sub-Saharan Africa,Upper middle income
Malawi,MWI,1961,7.63959785583216,Sub-Saharan Africa,Low income
Malaysia,MYS,1961,7.59799400028281,East Asia & Pacific,Upper middle income
North America,NAC,1961,2.36540607239422,,
Niger,NER,1961,4.54639303660171,Sub-Saharan Africa,Low income
Nigeria,NGA,1961,0.191795489572428,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1961,7.49774339849118,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1961,0.295546672716611,Europe & Central Asia,High income
Norway,NOR,1961,6.27333551040741,Europe & Central Asia,High income
Nepal,NPL,1961,1.9082659718424,South Asia,Lower middle income
New Zealand,NZL,1961,3.31564965480389,East Asia & Pacific,High income
OECD members,OED,1961,4.40871299763772,,
Pakistan,PAK,1961,5.9873464192908,South Asia,Lower middle income
Panama,PAN,1961,10.926594841623,Latin America & Caribbean,High income
Peru,PER,1961,7.34709633145569,Latin America & Caribbean,Upper middle income
Philippines,PHL,1961,5.69547095029755,East Asia & Pacific,Lower middle income
Papua New Guinea,PNG,1961,6.18111172052933,East Asia & Pacific,Lower middle income
Pre-demographic dividend,PRE,1961,-0.303987806750868,,
Puerto Rico,PRI,1961,7.04173846987173,Latin America & Caribbean,High income
