country,countryCode,year,value,region,incomeGroup
Argentina,ARG,1960,8989.40101605209,Latin America & Caribbean,Upper middle income
Australia,AUS,1960,29279.6840785028,East Asia & Pacific,High income
Austria,AUT,1960,10780.3682255221,Europe & Central Asia,High income
Burundi,BDI,1960,161299.786064949,Sub-Saharan Africa,Low income
Belgium,BEL,1960,10499.535155778,Europe & Central Asia,High income
Benin,BEN,1960,388555.526345748,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960,144214.568372735,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960,43854.6585077413,South Asia,Lower middle income
"Bahamas, The",BHS,1960,19745.1107038833,Latin America & Caribbean,High income
Belize,BLZ,1960,3116.07230182905,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960,35770.7469572072,North America,High income
Bolivia,BOL,1960,1644.56717620832,Latin America & Caribbean,Lower middle income
Brazil,BRA,1960,5882.85194954139,Latin America & Caribbean,Upper middle income
Barbados,BRB,1960,12219.4205467352,Latin America & Caribbean,High income
Botswana,BWA,1960,4493.08335119821,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960,224310.126401417,Sub-Saharan Africa,Low income
Canada,CAN,1960,19734.8320042606,North America,High income
Switzerland,CHE,1960,38406.0056754846,Europe & Central Asia,High income
Chile,CHL,1960,2395815.19426839,Latin America & Caribbean,High income
China,CHN,1960,1651.90277548869,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960,875619.42819794,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960,561368.019199595,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1960,357080.680216054,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1960,529250.327424734,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960,5349333.59026518,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1960,1995236.4461317,Latin America & Caribbean,Upper middle income
Germany,DEU,1960,11256.6148330416,Europe & Central Asia,High income
Denmark,DNK,1960,121824.738193321,Europe & Central Asia,High income
Dominican Republic,DOM,1960,40414.5752407277,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960,273340.563013443,Middle East & North Africa,Upper middle income
Ecuador,ECU,1960,2471.99433740385,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1960,12974.6450080858,Middle East & North Africa,Lower middle income
Spain,ESP,1960,5603.96570926557,Europe & Central Asia,High income
Finland,FIN,1960,10043.0174634552,Europe & Central Asia,High income
Fiji,FJI,1960,4401.00443235011,East Asia & Pacific,Upper middle income
France,FRA,1960,10067.1631061716,Europe & Central Asia,High income
Gabon,GAB,1960,1228549.93668913,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1960,9906.61910305344,Europe & Central Asia,High income
Ghana,GHA,1960,2932.18492644878,Sub-Saharan Africa,Lower middle income
Greece,GRC,1960,4518.96480020644,Europe & Central Asia,High income
Guatemala,GTM,1960,13501.9433645444,Latin America & Caribbean,Upper middle income
Guyana,GUY,1960,560043.897830382,Latin America & Caribbean,High income
Honduras,HND,1960,10846.441889006,Latin America & Caribbean,Lower middle income
Haiti,HTI,1960,71692.5053016568,Latin America & Caribbean,Lower middle income
Hungary,HUN,1960,579832.777077786,Europe & Central Asia,High income
Indonesia,IDN,1960,6230888.52161314,East Asia & Pacific,Upper middle income
India,IND,1960,16527.3250713723,South Asia,Lower middle income
Ireland,IRL,1960,7560.67247138192,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1960,76178479.257974,Middle East & North Africa,Upper middle income
Iraq,IRQ,1960,1088991.7274578,Middle East & North Africa,Upper middle income
Iceland,ISL,1960,1781201.48099045,Europe & Central Asia,High income
Israel,ISR,1960,33934.2229163385,Middle East & North Africa,High income
Italy,ITA,1960,8727.97511742817,Europe & Central Asia,High income
Japan,JPN,1960,773335.524907065,East Asia & Pacific,High income
Kenya,KEN,1960,81808.7131918154,Sub-Saharan Africa,Lower middle income
