country,countryCode,year,value,region,incomeGroup
Argentina,ARG,1960,6.462435920569811e-09,Latin America & Caribbean,Upper middle income
Australia,AUS,1960,1616.60460097366,East Asia & Pacific,High income
Austria,AUT,1960,1782.94666563253,Europe & Central Asia,High income
Burundi,BDI,1960,3568.01121229377,Sub-Saharan Africa,Low income
Belgium,BEL,1960,1599.26780807793,Europe & Central Asia,High income
Benin,BEN,1960,22076.3447524245,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960,16938.8610568652,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960,407.16161853452,South Asia,Lower middle income
"Bahamas, The",BHS,1960,1512.66375545852,Latin America & Caribbean,High income
Belize,BLZ,1960,438.754745467873,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960,1630.63063063063,North America,High income
Bolivia,BOL,1960,0.0012080868182596,Latin America & Caribbean,Lower middle income
Brazil,BRA,1960,1.58334830864693e-11,Latin America & Caribbean,Upper middle income
Barbados,BRB,1960,589.897451029839,Latin America & Caribbean,High income
Botswana,BWA,1960,42.2978756592866,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960,16371.7002395626,Sub-Saharan Africa,Low income
Canada,CAN,1960,2196.50856620678,North America,High income
Switzerland,CHE,1960,8546.1058402819,Europe & Central Asia,High income
Chile,CHL,1960,0.555281251612047,Latin America & Caribbean,High income
China,CHN,1960,220.3816690902,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960,36111.8033975065,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960,29427.8731391697,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1960,3.7383990555987795e-11,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1960,30596.0230862571,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960,1704.94849209138,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1960,2124.70916629404,Latin America & Caribbean,Upper middle income
Germany,DEU,1960,2486.46248576485,Europe & Central Asia,High income
Denmark,DNK,1960,9594.1645761149,Europe & Central Asia,High income
Dominican Republic,DOM,1960,203.879750917293,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960,1180.12029165091,Middle East & North Africa,Upper middle income
Ecuador,ECU,1960,373.250050669553,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1960,54.1826205101859,Middle East & North Africa,Lower middle income
Spain,ESP,1960,147.219585757893,Europe & Central Asia,High income
Ethiopia,ETH,1960,184.053420577325,Sub-Saharan Africa,Low income
Finland,FIN,1960,641.400906233059,Europe & Central Asia,High income
Fiji,FJI,1960,221.978344668662,East Asia & Pacific,Upper middle income
France,FRA,1960,1003.94583682843,Europe & Central Asia,High income
Gabon,GAB,1960,67572.1749717536,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1960,499.141221374046,Europe & Central Asia,High income
Ghana,GHA,1960,0.0125732292943221,Sub-Saharan Africa,Lower middle income
Greece,GRC,1960,45.8098412993708,Europe & Central Asia,High income
Guatemala,GTM,1960,252.756171165062,Latin America & Caribbean,Upper middle income
Guyana,GUY,1960,510.148778824805,Latin America & Caribbean,High income
"Hong Kong SAR, China",HKG,1960,2284.73190266323,East Asia & Pacific,High income
Honduras,HND,1960,322.955118715954,Latin America & Caribbean,Lower middle income
Haiti,HTI,1960,350.137741823606,Latin America & Caribbean,Lower middle income
Hungary,HUN,1960,18247.2040843116,Europe & Central Asia,High income
Indonesia,IDN,1960,4414.88210822184,East Asia & Pacific,Upper middle income
India,IND,1960,395.404851376131,South Asia,Lower middle income
Ireland,IRL,1960,320.405392636583,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1960,14871.5374778379,Middle East & North Africa,Upper middle income
Iraq,IRQ,1960,77.4938338139531,Middle East & North Africa,Upper middle income
Iceland,ISL,1960,519.789272929162,Europe & Central Asia,High income
Israel,ISR,1960,0.288832994616617,Middle East & North Africa,High income
Italy,ITA,1960,269.082811229916,Europe & Central Asia,High income
Jamaica,JAM,1960,304.038528165151,Latin America & Caribbean,Upper middle income
Japan,JPN,1960,183133.000545038,East Asia & Pacific,High income
Kenya,KEN,1960,729.142203991906,Sub-Saharan Africa,Lower middle income
St. Kitts and Nevis,KNA,1960,374.161666078362,Latin America & Caribbean,High income
"Korea, Rep.",KOR,1960,9991.05482750258,East Asia & Pacific,High income
Liberia,LBR,1960,167.538473174755,Sub-Saharan Africa,Low income
Libya,LBY,1960,100.522662421639,Middle East & North Africa,Upper middle income
Sri Lanka,LKA,1960,685.924824642516,South Asia,Lower middle income
Lesotho,LSO,1960,33.4761831187876,Sub-Saharan Africa,Lower middle income
Luxembourg,LUX,1960,2802.6561950609,Europe & Central Asia,High income
Morocco,MAR,1960,873.437133789063,Middle East & North Africa,Lower middle income
Madagascar,MDG,1960,6550.01153086072,Sub-Saharan Africa,Low income
Mexico,MEX,1960,4.49431324618869,Latin America & Caribbean,Upper middle income
Myanmar,MMR,1960,281.805022186903,East Asia & Pacific,Lower middle income
Mauritius,MUS,1960,1140.64383832423,Sub-Saharan Africa,Upper middle income
Malaysia,MYS,1960,748.808174646678,East Asia & Pacific,Upper middle income
Niger,NER,1960,31515.0712337141,Sub-Saharan Africa,Low income
Nigeria,NGA,1960,66.7122036241622,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,1960,2.62669163941791e-07,Latin America & Caribbean,Lower middle income
Netherlands,NLD,1960,1991.10089413454,Europe & Central Asia,High income
Norway,NOR,1960,10577.8889669831,Europe & Central Asia,High income
Nepal,NPL,1960,380.903065822274,South Asia,Lower middle income
New Zealand,NZL,1960,1199.07252963359,East Asia & Pacific,High income
Oman,OMN,1960,29.4472307488729,Middle East & North Africa,High income
Pakistan,PAK,1960,388.517043024509,South Asia,Lower middle income
Panama,PAN,1960,476.621422214414,Latin America & Caribbean,High income
Peru,PER,1960,6.90244409054987e-06,Latin America & Caribbean,Upper middle income
Philippines,PHL,1960,531.631276773079,East Asia & Pacific,Lower middle income
Papua New Guinea,PNG,1960,103.642808004972,East Asia & Pacific,Lower middle income
Puerto Rico,PRI,1960,717.514843087362,Latin America & Caribbean,High income
Portugal,PRT,1960,53.594041438118,Europe & Central Asia,High income
Paraguay,PRY,1960,18777.9133990456,Latin America & Caribbean,Upper middle income
Rwanda,RWA,1960,2005.95962054669,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,1960,1888.47420759644,Middle East & North Africa,High income
Sudan,SDN,1960,0.0349112972617149,Sub-Saharan Africa,Low income
Senegal,SEN,1960,75187.0284283435,Sub-Saharan Africa,Lower middle income
Singapore,SGP,1960,1310.37414965986,East Asia & Pacific,High income
Sierra Leone,SLE,1960,0.0856715088362715,Sub-Saharan Africa,Low income
Somalia,SOM,1960,449.014420015522,Sub-Saharan Africa,Low income
Suriname,SUR,1960,0.742559501631917,Latin America & Caribbean,Upper middle income
Sweden,SWE,1960,11026.4621380061,Europe & Central Asia,High income
Eswatini,SWZ,1960,72.6092185530262,Sub-Saharan Africa,Lower middle income
Seychelles,SYC,1960,1371.70263788969,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1960,665.966948271764,Middle East & North Africa,Low income
Chad,TCD,1960,25386.8832643045,Sub-Saharan Africa,Low income
Togo,TGO,1960,25398.5669712932,Sub-Saharan Africa,Low income
Thailand,THA,1960,2198.6884029919,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1960,1084.09799507239,Latin America & Caribbean,High income
Turkiye,TUR,1960,0.0024753752865219,Europe & Central Asia,Upper middle income
Tanzania,TZA,1960,1938.78442382813,Sub-Saharan Africa,Lower middle income
Uganda,UGA,1960,5.29749876144466,Sub-Saharan Africa,Low income
Uruguay,URY,1960,0.0057334438899479,Latin America & Caribbean,High income
United States,USA,1960,2999.86487154495,North America,High income
St. Vincent and the Grenadines,VCT,1960,266.219797720493,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1960,3.14713721584462,Latin America & Caribbean,
South Africa,ZAF,1960,378.258667550097,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1960,0.159997178971799,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,1960,276.643363257328,Sub-Saharan Africa,Lower middle income
Argentina,ARG,1961,8.06585699203985e-09,Latin America & Caribbean,Upper middle income
Australia,AUS,1961,1676.42850329104,East Asia & Pacific,High income
Austria,AUT,1961,1966.59427669445,Europe & Central Asia,High income
Burundi,BDI,1961,3604.43910663884,Sub-Saharan Africa,Low income
Belgium,BEL,1961,1695.32999456183,Europe & Central Asia,High income
Benin,BEN,1961,22655.8675549228,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1961,17701.3452554415,Sub-Saharan Africa,Low income
Bangladesh,BGD,1961,445.704542099517,South Asia,Lower middle income
"Bahamas, The",BHS,1961,1612.93005922673,Latin America & Caribbean,High income
Belize,BLZ,1961,456.574975735145,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1961,1681.31868131868,North America,High income
Bolivia,BOL,1961,0.0012872733268088,Latin America & Caribbean,Lower middle income
Brazil,BRA,1961,2.2460203376057e-11,Latin America & Caribbean,Upper middle income
Barbados,BRB,1961,626.185244070112,Latin America & Caribbean,High income
Botswana,BWA,1961,44.8420394238782,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1961,17657.0604269033,Sub-Saharan Africa,Low income
Canada,CAN,1961,2275.43315609915,North America,High income
Switzerland,CHE,1961,9425.67510850193,Europe & Central Asia,High income
Chile,CHL,1961,0.60993307900911,Latin America & Caribbean,High income
China,CHN,1961,186.618811806218,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1961,39401.701748496,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1961,30786.4180041555,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1961,3.44650616935162e-11,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1961,34335.3727187057,Sub-Saharan Africa,Lower middle income
Colombia,COL,1961,1879.88022059008,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1961,2098.14552716135,Latin America & Caribbean,Upper middle income
Germany,DEU,1961,2703.77281483151,Europe & Central Asia,High income
Denmark,DNK,1961,10571.638066674,Europe & Central Asia,High income
Dominican Republic,DOM,1961,191.907440848606,Latin America & Caribbean,Upper middle income
