country,countryCode,year,value,region,incomeGroup
Africa Eastern and Southern,AFE,1960,162.342517470388,,
Africa Western and Central,AFW,1960,122.193931234231,,
Australia,AUS,1960,1810.59744278609,East Asia & Pacific,High income
Austria,AUT,1960,943.610800103121,Europe & Central Asia,High income
Burundi,BDI,1960,71.3602242458753,Sub-Saharan Africa,Low income
Belgium,BEL,1960,1290.28607216192,Europe & Central Asia,High income
Benin,BEN,1960,90.0358313130591,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960,69.0831953321335,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960,84.8253371946916,South Asia,Lower middle income
"Bahamas, The",BHS,1960,1483.00368182207,Latin America & Caribbean,High income
Belize,BLZ,1960,307.12862895614,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960,1902.40208533539,North America,High income
Bolivia,BOL,1960,100.673901521639,Latin America & Caribbean,Lower middle income
Barbados,BRB,1960,344.103978900915,Latin America & Caribbean,High income
Botswana,BWA,1960,59.2971126032832,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1960,66.7700952131282,Sub-Saharan Africa,Low income
Canada,CAN,1960,2264.94849658191,North America,High income
Switzerland,CHE,1960,1954.3113206427,Europe & Central Asia,High income
Chile,CHL,1960,504.801137829134,Latin America & Caribbean,High income
China,CHN,1960,89.5202142368479,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1960,147.277834060423,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1960,120.018193753266,Sub-Saharan Africa,Lower middle income
"Congo, Rep.",COG,1960,124.782358870445,Sub-Saharan Africa,Lower middle income
Colombia,COL,1960,256.962847338565,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,1960,376.968785602974,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1960,373.04277894762,,
Germany,DEU,1960,1157.88046394509,Europe & Central Asia,High income
Denmark,DNK,1960,1389.02134376004,Europe & Central Asia,High income
Dominican Republic,DOM,1960,203.879750917293,Latin America & Caribbean,Upper middle income
Algeria,DZA,1960,239.033005807284,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1960,90.0972805193036,,
Early-demographic dividend,EAR,1960,134.397399408887,,
East Asia & Pacific,EAS,1960,150.621128890049,,
Europe & Central Asia,ECS,1960,640.000649345018,,
Ecuador,ECU,1960,448.114797414384,Latin America & Caribbean,Upper middle income
Euro area,EMU,1960,933.785396730679,,
Spain,ESP,1960,408.254628967851,Europe & Central Asia,High income
Ethiopia,ETH,1960,74.0815628996628,Sub-Saharan Africa,Low income
European Union,EUU,1960,798.642235573087,,
Fragile and conflict affected situations,FCS,1960,125.434303757343,,
Finland,FIN,1960,1191.74888086176,Europe & Central Asia,High income
Fiji,FJI,1960,279.534497756784,East Asia & Pacific,Upper middle income
France,FRA,1960,1333.88157286682,Europe & Central Asia,High income
Gabon,GAB,1960,275.585338761534,Sub-Saharan Africa,Upper middle income
