country,countryCode,year,value,region,incomeGroup
Aruba,ABW,1990,33050.6442784391,Latin America & Caribbean,High income
Africa Eastern and Southern,AFE,1990,3415.74825471512,,
Africa Western and Central,AFW,1990,3328.88033327985,,
Angola,AGO,1990,7265.34820786392,Sub-Saharan Africa,Lower middle income
Albania,ALB,1990,5377.9446565558,Europe & Central Asia,Upper middle income
Andorra,AND,1990,49128.7343016069,Europe & Central Asia,High income
Arab World,ARB,1990,10988.3887199072,,
United Arab Emirates,ARE,1990,107947.231110086,Middle East & North Africa,High income
Argentina,ARG,1990,17073.1580768193,Latin America & Caribbean,Upper middle income
Armenia,ARM,1990,6129.98829457637,Europe & Central Asia,Upper middle income
Antigua and Barbuda,ATG,1990,20991.578596164,Latin America & Caribbean,High income
Australia,AUS,1990,35754.1141170955,East Asia & Pacific,High income
Austria,AUT,1990,44185.6033812944,Europe & Central Asia,High income
Azerbaijan,AZE,1990,10612.9666645849,Europe & Central Asia,Upper middle income
Burundi,BDI,1990,1422.36555928831,Sub-Saharan Africa,Low income
Belgium,BEL,1990,42266.1303465547,Europe & Central Asia,High income
Benin,BEN,1990,2270.72504795272,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1990,1108.22112728143,Sub-Saharan Africa,Low income
Bangladesh,BGD,1990,2156.4401037798,South Asia,Lower middle income
Bulgaria,BGR,1990,15082.5878849846,Europe & Central Asia,High income
Bahrain,BHR,1990,40447.950353221,Middle East & North Africa,High income
"Bahamas, The",BHS,1990,33705.7704124741,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1990,2422.37645915799,Europe & Central Asia,Upper middle income
Belarus,BLR,1990,12358.9795905248,Europe & Central Asia,Upper middle income
Belize,BLZ,1990,8240.40547445081,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1990,76753.6357784474,North America,High income
Bolivia,BOL,1990,5149.00339290039,Latin America & Caribbean,Lower middle income
Brazil,BRA,1990,12502.2479633803,Latin America & Caribbean,Upper middle income
Barbados,BRB,1990,14957.571519032,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1990,92869.3305704467,East Asia & Pacific,High income
Bhutan,BTN,1990,3572.49593335108,South Asia,Lower middle income
Botswana,BWA,1990,10240.3397670429,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1990,1514.30735195897,Sub-Saharan Africa,Low income
Canada,CAN,1990,39863.0660385958,North America,High income
Central Europe and the Baltics,CEB,1990,17441.7234937225,,
Switzerland,CHE,1990,64588.9540954169,Europe & Central Asia,High income
Chile,CHL,1990,11142.4574285939,Latin America & Caribbean,High income
China,CHN,1990,1645.57894422679,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1990,5378.72301528595,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1990,4476.77832002366,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1990,2214.03967102918,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1990,8681.74802966767,Sub-Saharan Africa,Lower middle income
Colombia,COL,1990,10130.752514159,Latin America & Caribbean,Upper middle income
Comoros,COM,1990,3102.1661751217,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1990,1903.85684626735,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1990,10957.1724471431,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1990,13331.9334949308,,
Cyprus,CYP,1990,28182.171875,Europe & Central Asia,High income
Czechia,CZE,1990,28027.127394506,Europe & Central Asia,High income
Germany,DEU,1990,42571.8798109915,Europe & Central Asia,High income
Dominica,DMA,1990,10430.990352094,Latin America & Caribbean,Upper middle income
Denmark,DNK,1990,46379.1869277647,Europe & Central Asia,High income
Dominican Republic,DOM,1990,7305.90669752036,Latin America & Caribbean,Upper middle income
Algeria,DZA,1990,11665.3014345701,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1990,2495.73820682121,,
Early-demographic dividend,EAR,1990,5093.57301792307,,
East Asia & Pacific,EAS,1990,5733.27743334082,,
Europe & Central Asia (excluding high income),ECA,1990,13930.6548384856,,
Europe & Central Asia,ECS,1990,28729.244601996,,
Ecuador,ECU,1990,9114.35426308974,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1990,8172.0289644652,Middle East & North Africa,Lower middle income
Euro area,EMU,1990,38305.2649270787,,
Spain,ESP,1990,31353.7109884573,Europe & Central Asia,High income
Estonia,EST,1990,19287.6594889106,Europe & Central Asia,High income
Ethiopia,ETH,1990,869.44688201191,Sub-Saharan Africa,Low income
European Union,EUU,1990,33787.7684161656,,
Fragile and conflict affected situations,FCS,1990,6091.91318407898,,
Finland,FIN,1990,39155.361033392,Europe & Central Asia,High income
Fiji,FJI,1990,8052.81016458297,East Asia & Pacific,Upper middle income
France,FRA,1990,40540.1414827963,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1990,3210.84744192771,East Asia & Pacific,Lower middle income
Gabon,GAB,1990,24852.1605960577,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1990,35551.8271474522,Europe & Central Asia,High income
Georgia,GEO,1990,12917.0944269361,Europe & Central Asia,Upper middle income
Ghana,GHA,1990,2776.23335712089,Sub-Saharan Africa,Lower middle income
Guinea,GIN,1990,2132.1166708088,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,1990,2689.68978445874,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1990,1794.49826022823,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1990,1143.86075225398,Sub-Saharan Africa,Upper middle income
Greece,GRC,1990,27036.3861333672,Europe & Central Asia,High income
Grenada,GRD,1990,8971.03436779865,Latin America & Caribbean,Upper middle income
Greenland,GRL,1990,37619.556422701,Europe & Central Asia,High income
Guatemala,GTM,1990,7541.435456176,Latin America & Caribbean,Upper middle income
Guyana,GUY,1990,5095.5261595366,Latin America & Caribbean,High income
High income,HIC,1990,35089.2694120611,,
"Hong Kong SAR, China",HKG,1990,31598.8063479054,East Asia & Pacific,High income
Honduras,HND,1990,4363.30886212612,Latin America & Caribbean,Lower middle income
Heavily indebted poor countries (HIPC),HPC,1990,2176.2041791297,,
Croatia,HRV,1990,23403.6898049274,Europe & Central Asia,High income
Haiti,HTI,1990,3905.96932963809,Latin America & Caribbean,Lower middle income
Hungary,HUN,1990,21448.3078858035,Europe & Central Asia,High income
IBRD only,IBD,1990,6249.68621739238,,
IDA & IBRD total,IBT,1990,5520.95649789022,,
IDA total,IDA,1990,2622.45260605074,,
IDA blend,IDB,1990,3664.70678931577,,
Indonesia,IDN,1990,4915.19368023377,East Asia & Pacific,Upper middle income
IDA only,IDX,1990,2112.70005091232,,
India,IND,1990,2189.2770951254,South Asia,Lower middle income
Ireland,IRL,1990,29081.8033825192,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,1990,9465.96349773004,Middle East & North Africa,Upper middle income
