country,countryCode,year,value,region,incomeGroup
Aruba,ABW,1990,20754.2314588017,Latin America & Caribbean,High income
Africa Eastern and Southern,AFE,1990,1816.03586561908,,
Africa Western and Central,AFW,1990,1741.68751953343,,
Angola,AGO,1990,3283.4719063483,Sub-Saharan Africa,Lower middle income
Albania,ALB,1990,2549.25645432487,Europe & Central Asia,Upper middle income
Andorra,AND,1990,24456.9039014423,Europe & Central Asia,High income
Arab World,ARB,1990,6828.90617535741,,
United Arab Emirates,ARE,1990,86860.6487815545,Middle East & North Africa,High income
Argentina,ARG,1990,7184.24255355742,Latin America & Caribbean,Upper middle income
Armenia,ARM,1990,2756.82609874695,Europe & Central Asia,Upper middle income
Antigua and Barbuda,ATG,1990,12881.7085613412,Latin America & Caribbean,High income
Australia,AUS,1990,17380.8816876752,East Asia & Pacific,High income
Austria,AUT,1990,19459.1853817091,Europe & Central Asia,High income
Azerbaijan,AZE,1990,5253.928344414,Europe & Central Asia,Upper middle income
Burundi,BDI,1990,609.427526352913,Sub-Saharan Africa,Low income
Belgium,BEL,1990,18675.3121947985,Europe & Central Asia,High income
Benin,BEN,1990,1220.32647439637,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1990,568.682289195549,Sub-Saharan Africa,Low income
Bangladesh,BGD,1990,980.037863715272,South Asia,Lower middle income
Bulgaria,BGR,1990,7545.5330564159,Europe & Central Asia,High income
Bahrain,BHR,1990,25733.5244425959,Middle East & North Africa,High income
"Bahamas, The",BHS,1990,20544.6029580482,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1990,1031.95485739405,Europe & Central Asia,Upper middle income
Belarus,BLR,1990,5226.61888446068,Europe & Central Asia,Upper middle income
Belize,BLZ,1990,4461.14526139587,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1990,34873.9453687725,North America,High income
Bolivia,BOL,1990,2294.9393380356,Latin America & Caribbean,Lower middle income
Brazil,BRA,1990,6618.55156275763,Latin America & Caribbean,Upper middle income
Barbados,BRB,1990,9655.99146889207,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1990,55173.3097606057,East Asia & Pacific,High income
Bhutan,BTN,1990,1696.84532704783,South Asia,Lower middle income
Botswana,BWA,1990,5818.58154027491,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1990,634.235477965086,Sub-Saharan Africa,Low income
Canada,CAN,1990,20229.7558681625,North America,High income
Central Europe and the Baltics,CEB,1990,7517.81847439496,,
Switzerland,CHE,1990,28442.331604763,Europe & Central Asia,High income
Chile,CHL,1990,4437.0552176745,Latin America & Caribbean,High income
China,CHN,1990,981.509202638102,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1990,2756.50628292481,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1990,2014.36507493286,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1990,848.174728717402,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1990,3429.72617609468,Sub-Saharan Africa,Lower middle income
Colombia,COL,1990,5084.13666191839,Latin America & Caribbean,Upper middle income
Comoros,COM,1990,1513.61254216229,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1990,1075.5852883534,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1990,4962.53762459969,Latin America & Caribbean,Upper middle income
Caribbean small states,CSS,1990,7150.79511087418,,
Cyprus,CYP,1990,13339.1875,Europe & Central Asia,High income
Czechia,CZE,1990,12716.1323543506,Europe & Central Asia,High income
Germany,DEU,1990,19449.7602223898,Europe & Central Asia,High income
Dominica,DMA,1990,4352.66377921613,Latin America & Caribbean,Upper middle income
Denmark,DNK,1990,18231.3133594948,Europe & Central Asia,High income
Dominican Republic,DOM,1990,3666.98522959894,Latin America & Caribbean,Upper middle income
Algeria,DZA,1990,7559.80484286088,Middle East & North Africa,Upper middle income
East Asia & Pacific (excluding high income),EAP,1990,1458.71241220114,,
Early-demographic dividend,EAR,1990,2961.40860396614,,
East Asia & Pacific,EAS,1990,3250.68095239596,,
Europe & Central Asia (excluding high income),ECA,1990,6404.69857050052,,
Europe & Central Asia,ECS,1990,11940.7964399211,,
Ecuador,ECU,1990,4642.11779650472,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1990,3639.70470983815,Middle East & North Africa,Lower middle income
Euro area,EMU,1990,17030.4531228522,,
Spain,ESP,1990,13676.3069991903,Europe & Central Asia,High income
Estonia,EST,1990,7475.93117166929,Europe & Central Asia,High income
Ethiopia,ETH,1990,414.689480677627,Sub-Saharan Africa,Low income
European Union,EUU,1990,14983.6685273496,,
Fragile and conflict affected situations,FCS,1990,2469.74562850395,,
Finland,FIN,1990,18133.7699926998,Europe & Central Asia,High income
Fiji,FJI,1990,3917.78245501698,East Asia & Pacific,Upper middle income
France,FRA,1990,17697.5748941508,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,1990,1727.72661588636,East Asia & Pacific,Lower middle income
Gabon,GAB,1990,11960.6081752816,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,1990,17054.444821826,Europe & Central Asia,High income
Georgia,GEO,1990,5835.58091309738,Europe & Central Asia,Upper middle income
Ghana,GHA,1990,1575.29528279202,Sub-Saharan Africa,Lower middle income
Guinea,GIN,1990,881.73845524278,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,1990,1428.39604662597,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,1990,824.202136467872,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,1990,588.21662866334,Sub-Saharan Africa,Upper middle income
Greece,GRC,1990,13302.5725559691,Europe & Central Asia,High income
Grenada,GRD,1990,4594.78575793943,Latin America & Caribbean,Upper middle income
