country,countryCode,year,value,region,incomeGroup
Aruba,ABW,1990,0.515849816073223,Latin America & Caribbean,High income
Albania,ALB,1990,0.292271376314356,Europe & Central Asia,Upper middle income
Andorra,AND,1990,0.785409242972656,Europe & Central Asia,High income
United Arab Emirates,ARE,1990,0.307191463381373,Middle East & North Africa,High income
Argentina,ARG,1990,0.602842701788135,Latin America & Caribbean,Upper middle income
Armenia,ARM,1990,0.230180397631341,Europe & Central Asia,Upper middle income
Antigua and Barbuda,ATG,1990,0.586796433092844,Latin America & Caribbean,High income
Australia,AUS,1990,1.04994332492249,East Asia & Pacific,High income
Austria,AUT,1990,1.11417765944572,Europe & Central Asia,High income
Azerbaijan,AZE,1990,0.235684960200296,Europe & Central Asia,Upper middle income
Burundi,BDI,1990,0.415871844724754,Sub-Saharan Africa,Low income
Belgium,BEL,1990,1.10308063737325,Europe & Central Asia,High income
Benin,BEN,1990,0.432478904772401,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1990,0.597225953713956,Sub-Saharan Africa,Low income
Bangladesh,BGD,1990,0.412023552671131,South Asia,Lower middle income
Bulgaria,BGR,1990,0.313633218964417,Europe & Central Asia,High income
Bahrain,BHR,1990,0.361210294296809,Middle East & North Africa,High income
"Bahamas, The",BHS,1990,0.981485753028117,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1990,2.05759404280155,Europe & Central Asia,Upper middle income
Belize,BLZ,1990,0.669918741741875,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1990,0.873403381161433,North America,High income
Bolivia,BOL,1990,0.298893616187761,Latin America & Caribbean,Lower middle income
Brazil,BRA,1990,0.38594073143917,Latin America & Caribbean,Upper middle income
Barbados,BRB,1990,0.804972620562482,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1990,0.243608174910518,East Asia & Pacific,High income
Bhutan,BTN,1990,0.329641529767009,South Asia,Lower middle income
Botswana,BWA,1990,0.465393876334331,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1990,0.808612726381353,Sub-Saharan Africa,Low income
Canada,CAN,1990,1.06406924922866,North America,High income
Switzerland,CHE,1990,1.39139576734811,Europe & Central Asia,High income
Chile,CHL,1990,0.559731790779917,Latin America & Caribbean,High income
China,CHN,1990,0.32387334951778,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1990,0.489092959561194,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1990,0.604107562205231,Sub-Saharan Africa,Lower middle income
"Congo, Rep.",COG,1990,0.373578434132261,Sub-Saharan Africa,Lower middle income
Colombia,COL,1990,0.347139528452077,Latin America & Caribbean,Upper middle income
Comoros,COM,1990,0.608174683102403,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1990,0.802452815232694,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1990,0.364429671957066,Latin America & Caribbean,Upper middle income
Cyprus,CYP,1990,0.722800809295403,Europe & Central Asia,High income
Czechia,CZE,1990,0.309960842199075,Europe & Central Asia,High income
Germany,DEU,1990,1.14674736714683,Europe & Central Asia,High income
Dominica,DMA,1990,0.650272692428763,Latin America & Caribbean,Upper middle income
Denmark,DNK,1990,1.47501421969428,Europe & Central Asia,High income
Dominican Republic,DOM,1990,0.353397131753729,Latin America & Caribbean,Upper middle income
Algeria,DZA,1990,0.349072158970857,Middle East & North Africa,Upper middle income
Ecuador,ECU,1990,0.300638882193369,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1990,0.206386932475816,Middle East & North Africa,Lower middle income
Spain,ESP,1990,1.00940091413647,Europe & Central Asia,High income
Ethiopia,ETH,1990,0.628518623232227,Sub-Saharan Africa,Low income
Finland,FIN,1990,1.56418908412378,Europe & Central Asia,High income
Fiji,FJI,1990,0.437283246381509,East Asia & Pacific,Upper middle income
France,FRA,1990,1.23551138417058,Europe & Central Asia,High income
