country,countryCode,year,value,region,incomeGroup
Aruba,ABW,1990,0.923371170771069,Latin America & Caribbean,High income
Angola,AGO,1990,1.05946358259261e-08,Sub-Saharan Africa,Lower middle income
Albania,ALB,1990,2.33817101051485,Europe & Central Asia,Upper middle income
Andorra,AND,1990,0.481169191568553,Europe & Central Asia,High income
United Arab Emirates,ARE,1990,1.12769986207302,Middle East & North Africa,High income
Argentina,ARG,1990,0.293939470122175,Latin America & Caribbean,Upper middle income
Armenia,ARM,1990,0.0051311814239978,Europe & Central Asia,Upper middle income
Antigua and Barbuda,ATG,1990,1.58435036935068,Latin America & Caribbean,High income
Australia,AUS,1990,1.364415,East Asia & Pacific,High income
Austria,AUT,1990,0.920645,Europe & Central Asia,High income
Azerbaijan,AZE,1990,7.77760368660978e-06,Europe & Central Asia,Upper middle income
Burundi,BDI,1990,71.2201327683378,Sub-Saharan Africa,Low income
Belgium,BEL,1990,0.913792,Europe & Central Asia,High income
Benin,BEN,1990,117.74877732233,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1990,162.603597676028,Sub-Saharan Africa,Low income
Bangladesh,BGD,1990,13.5555757069273,South Asia,Lower middle income
Bulgaria,BGR,1990,0.0006899930817217,Europe & Central Asia,High income
Bahrain,BHR,1990,0.1358150706556,Middle East & North Africa,High income
"Bahamas, The",BHS,1990,0.981485753028117,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1990,0.0002366233149221,Europe & Central Asia,Upper middle income
Belarus,BLR,1990,8.13056391102997e-09,Europe & Central Asia,Upper middle income
Belize,BLZ,1990,1.33983748348375,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1990,0.873403381161433,North America,High income
Bolivia,BOL,1990,0.948284831398099,Latin America & Caribbean,Lower middle income
Brazil,BRA,1990,1.15782219431751e-05,Latin America & Caribbean,Upper middle income
Barbados,BRB,1990,1.61904143173732,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1990,0.441547856095086,East Asia & Pacific,High income
Bhutan,BTN,1990,5.76988051627684,South Asia,Lower middle income
Botswana,BWA,1990,0.865849483528228,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1990,220.156772522321,Sub-Saharan Africa,Low income
Canada,CAN,1990,1.241556,North America,High income
Switzerland,CHE,1990,1.932927,Europe & Central Asia,High income
Chile,CHL,1990,170.538946,Latin America & Caribbean,High income
China,CHN,1990,1.69385761797799,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1990,133.162790947221,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1990,164.477217353004,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1990,7.33538738850968e-10,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1990,101.712253170392,Sub-Saharan Africa,Lower middle income
Colombia,COL,1990,174.35429956034,Latin America & Caribbean,Upper middle income
Comoros,COM,1990,165.583148102849,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1990,56.1968403203483,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1990,33.3598921709498,Latin America & Caribbean,Upper middle income
Cyprus,CYP,1990,0.56450743205971,Europe & Central Asia,High income
Czechia,CZE,1990,5.564727,Europe & Central Asia,High income
Germany,DEU,1990,0.947328,Europe & Central Asia,High income
Dominica,DMA,1990,1.75573626955766,Latin America & Caribbean,Upper middle income
Denmark,DNK,1990,9.128273,Europe & Central Asia,High income
Dominican Republic,DOM,1990,3.01281656734007,Latin America & Caribbean,Upper middle income
Algeria,DZA,1990,3.12681665655872,Middle East & North Africa,Upper middle income
Ecuador,ECU,1990,0.300494876168798,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1990,0.460036472488594,Middle East & North Africa,Lower middle income
Spain,ESP,1990,0.618359,Europe & Central Asia,High income
Estonia,EST,1990,0.0045189525963108,Europe & Central Asia,High income
