"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex (%)","Sex: Total","2021",86.395,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex (%)","Sex: Male","2021",82.987,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex (%)","Sex: Female","2021",97.295,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Sex: Total","2021",90.254,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Sex: Male","2021",84.799,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Sex: Female","2021",95.504,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Sex: Total","2019",88.195,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Sex: Male","2019",82.181,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Sex: Female","2019",94.03,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Sex: Total","2011",84.316,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Sex: Male","2011",77.162,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Sex: Female","2011",91.334,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Sex: Total","2004",79.162,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Sex: Male","2004",70.479,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
