"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33050.6442784391","34550.9178862028","35369.9962868371","36817.5539766641","38584.9261636103","38366.0717856556","37663.96356464","39115.8131101858","38714.0586907077","38059.9704793716","39934.2438643444","40874.8856293175","40007.7900204558","40050.6165495942","42586.3672843964","41999.7925159901","41974.4062775006","42743.2264651505","42990.8735373668","37505.1218426687","36069.4767343863","36936.1463649744","36256.758349137","38300.5412154143","37433.0840898173","36963.0785495511","37377.5022869711","39797.6614057063","40544.4252964126","39432.1289328699","29935.0702780022","38226.146156979","42260.4518367931","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3415.74825471512","3322.2000970753","3163.32308707997","3055.99721634645","3026.94470965302","3082.01625994631","3168.04243328736","3213.19807964162","3194.23870909168","3199.60865870492","3220.25914647681","3253.780150443","3295.02525355099","3311.32590864374","3412.04747946244","3535.56327691657","3675.2219341346","3822.57951769503","3892.15278560055","3824.01348164908","3921.77802877877","3983.11061802536","3990.08030044935","4048.08918522265","4108.19005374871","4129.05511950062","4125.36139173362","4135.76793691998","4142.95031269856","4130.05722163369","3919.4992295104","3994.17165362078","4038.63868929989","4047.00703115979",
"Afghanistan","AFG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1666.44865002629","1498.1045669026","1806.23416682495","1822.97848351681","1777.45406899787","1907.59701357669","1928.29421602143","2155.89816122615","2196.10036842951","2572.58958889668","2858.12696496557","2766.34209587397","2994.48631913259","3054.45157082501","3024.98212032803","2974.57332173451","2964.2871729567","2956.7699250337","2906.84260021104","2933.9585984536","2776.56152113396","2138.87024713086","1955.21290440094","",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3328.88033327985","3281.24471593989","3264.4227871301","3143.151891036","3060.30597192798","3047.56879218613","3107.67740383576","3164.29851934602","3195.92823737276","3165.31627959278","3193.50211762617","3266.63147674008","3465.03696591413","3549.73396045084","3719.20785335475","3824.09586196343","3915.98120656163","4008.77318219461","4139.43684852176","4264.66744562912","4427.4727066001","4513.11705885515","4622.8278132727","4765.67581292301","4907.92241389109","4914.57231835675","4807.01663694626","4800.64378885975","4817.20349375277","4853.2810825933","4690.06298609972","4756.30841947667","4816.95691648424","4857.98753349736",
"Angola","AGO","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7265.34820786392","7097.33690133125","6469.34369330304","4764.72832267977","4676.55125756778","5203.99246053156","5715.30854478114","5929.9480655087","6007.8632012225","5944.01614383895","5930.05093750066","5979.75824466987","6573.98519418253","6543.3464296114","7009.69573928968","7781.43278819043","8373.92813783021","9205.88700138772","9865.30892312139","9589.34762476824","9644.1239865184","9610.84573742373","10046.9910857176","10158.144066145","10262.8470148798","9991.60250008936","9390.91827086088","9049.96266717646","8626.72581572776","8280.18039135071","7562.08736674225","7414.27895783202","7407.10529226277","7247.47644174941",
"Albania","ALB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5377.9446565558","3895.41628837015","3637.44034973841","4009.54865526712","4369.19561322821","4981.95327417341","5469.19726589039","4902.52799610365","5369.07630993237","6099.70392549286","6565.11270374311","7176.61337361852","7524.71323513617","7970.49316514895","8445.26113769001","8957.70965522176","9546.49301184324","10194.4353479055","11043.4389767839","11491.0450042866","11976.3214674401","12314.2504385294","12509.4156460404","12657.9317259324","12909.2407950878","13234.1440599067","13694.7310779137","14228.5670700585","14837.0249272247","15211.4433111205","14793.8528859268","16261.804554188","17260.1194661056","18059.9379072012",
"Andorra","AND","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49128.7343016069","48684.6034425175","47550.9273491918","45570.416914546","45218.6139908682","45069.2191430982","46268.5362726215","50046.6156917428","51246.193025818","52965.7372253224","54467.8738908304","57394.1783841602","57438.2010720728","59848.7888006167","62172.3484679313","63153.4531317932","65864.391797578","68644.1163997982","66629.149344497","64978.0543227723","65772.5330024323","66654.472880346","62940.9818652409","60406.9609197114","61700.2370940327","62476.0657551217","64084.5149342309","63176.707140374","63174.2620150843","63324.8041142748","55260.3411948963","58829.8500720505","63818.309268851","64526.5560970389",
"Arab World","ARB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10988.3887199072","10780.1292407927","11148.9830288489","11135.8961590512","11152.8247888358","11178.0489913318","11437.7851852826","11719.9805770962","12087.541474246","12102.5959909552","12600.0977925605","12561.1089142041","12372.0508320332","12567.1002325876","13381.8105409893","13760.5699873781","14214.8531086685","14481.2157924895","14906.1498473529","14670.8871619374","15009.1466320213","15277.9223555985","15576.3494323054","15582.3928957524","15621.7938180087","15910.033247964","16195.8816055956","16152.609077536","16278.6121161225","16297.6772316681","15320.1097907467","15776.9848521443","16398.3329243606","16286.1078753781",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107947.231110086","103008.343112544","101028.778971352","97376.9716976017","99366.3417153958","101440.164263334","101534.220346346","102914.569378757","97031.2434121011","94160.1303456758","98713.8363256673","94911.8194756248","92419.9365203907","95812.7159837545","100249.396878396","98053.5134242809","94114.0023153062","81010.1451726284","70245.9808142366","58202.0307061993","55724.7276983063","58543.7350775664","58994.3104052304","61361.5704651121","63309.3109608294","66992.2401452914","70109.727654685","70048.5035838727","70410.8223858472","70638.7327313241","66590.3955089864","68912.5455452314","73724.3071618057","75627.0549093525",
"Argentina","ARG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17073.1580768193","18369.0107174587","19553.8253421588","20873.2191932961","21795.8406933293","20898.5319124925","21777.3083494767","23263.2440234421","23880.7313822427","22807.9821513424","22373.03678309","21152.8567790195","18647.0998581005","20086.5123167203","21679.002559219","23355.3307814191","24975.0187058769","26952.0937769418","27768.6843809796","25861.543571103","28407.4305734637","29767.772411443","29129.1690188431","29497.8525928233","28442.2481891173","28905.7613481314","28006.7736999391","28499.0342488969","27472.61025086","26656.7939194468","23785.7843805643","26086.8023552274","27127.4390969333","26466.5465596961",
